구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수,
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3.0,3.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,GEWR002,글쓰기,1,1.0,,,,,3.0,3.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,IFLS800,Academic English I,1,,,,,,2.0,2.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1.0,1.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1.0,1.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3.0,3.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3.0,3.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3.0,3.0,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,ARDE200,2D기초조형,1,1,,,,,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
교양필수,ARDE270,기초디자인-2D,1,1,,,,,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공필수,ARDE223,제품디자인스튜디오I,2,1,,,,산업정보디자인,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공필수,ARDE224,제품디자인스튜디오II,2,2,,,,산업정보디자인,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공필수,ARDE311,제품디자인스튜디오III,3,1,,,,산업정보디자인,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공필수,ARDE312,제품디자인스튜디오IV,3,2,,,,산업정보디자인,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공필수,ARDE416,졸업작품(우수ARDE411 졸업연구),4,2,,,,산업정보디자인,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,★졸업전필수,0,
전공선택,ARDE212,디자인표현기법,1,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE285,3D그래픽스,1,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE217 3D컴퓨터그래픽,0,
전공선택,ARDE275,기초디자인-3D,2,1,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE218,4D컴퓨터그래픽,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE225,디자인관찰상,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE228,재료와프로세스,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE229,기초정보디자인,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE220,디자인프로토타이핑,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE284,디자인워크샵,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE230,인터랙티브컴퓨팅,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE278,기초정보조형,2,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE313,디자인 인간요소,3,1,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE322,디자인방법론,3,1,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE324,인터랙션디자인,3,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE327,공공디자인,3,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE314,디자인마케팅,3,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE320,디자인사고,3,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE323,인터페이스디자인,3,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE330,신개념가구디자인,3,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE415,제품시스템디자인(통합설계),4,1,,,,산업정보디자인,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,★졸업전필수,0,
전공선택,ARDE417,제품개발(통합설계),4,1,,,,산업정보디자인,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,★졸업전필수,0,
전공선택,ARDE414,디지털디자인프로젝트,4,1,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE425,디자인브랜딩,4,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE422,포트폴리오,4,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE423,디자인세미나,4,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE424,디자인리서치연구,4,2,,,,산업정보디자인,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
